merchantid,merchantSlug,businessType,Industry,customerSegment,market,First_Shipment_Month,Delivery_Month,Delivery_Year,delivery_quarter,GMV,First_Shipment_Quarter_Year,Delivery_Month_Year,Delivery_Quarter_Year
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,7,2021,$3.00,2065.5,2021-02-01,7-2021,3-2021
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,2,2022,$1.00,8685.3221,2021-02-01,2-2022,1-2022
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,11,2021,$4.00,10898.145,2021-02-01,11-2021,4-2021
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,4,2022,$2.00,4510.388065,2021-02-01,4-2022,2-2022
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,12,2021,$4.00,15776.775,2021-02-01,12-2021,4-2021
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,3,2022,$1.00,7565.863074,2021-02-01,3-2022,1-2022
ZKBnEKC1L2qjJHuCKsiI,holt-renfrew-vancouver,Retail,Apparel,Midmarket,Vancouver,2021-04-01,1,2022,$1.00,11369.01712,2021-02-01,1-2022,1-2022
BTOUCOXwlYjcuIuFwxnb,qe-homes-vancouver,Retail,Furniture & Home Goods,Midmarket,Vancouver,2021-12-01,4,2022,$2.00,85.0792625,2021-04-01,4-2022,2-2022
BTOUCOXwlYjcuIuFwxnb,qe-homes-vancouver,Retail,Furniture & Home Goods,Midmarket,Vancouver,2021-12-01,2,2022,$1.00,182.352464,2021-04-01,2-2022,1-2022
BTOUCOXwlYjcuIuFwxnb,qe-homes-vancouver,Retail,Furniture & Home Goods,Midmarket,Vancouver,2021-12-01,3,2022,$1.00,213.7628955,2021-04-01,3-2022,1-2022
BTOUCOXwlYjcuIuFwxnb,qe-homes-vancouver,Retail,Furniture & Home Goods,Midmarket,Vancouver,2021-12-01,12,2021,$4.00,329.7915,2021-04-01,12-2021,4-2021
BTOUCOXwlYjcuIuFwxnb,qe-homes-vancouver,Retail,Furniture & Home Goods,Midmarket,Vancouver,2021-12-01,1,2022,$1.00,399.430544,2021-04-01,1-2022,1-2022
iugosQef0Sc6ToeDRxYr,salon-mirage,Retail,Personal Care / Cosmetics,Small Business,Toronto,2021-10-01,10,2021,$4.00,16.119,2021-04-01,10-2021,4-2021
jCE48LDdNIJO4GrPuVSq,barberslounge,Retail,Personal Care / Cosmetics,Midmarket,Toronto,2021-11-01,11,2021,$4.00,38.2806,2021-04-01,11-2021,4-2021
